0x1162	那人狂妄自大无口德，出名得很。不管他说什么，您听听就算了，别放在心里。
0x1163	从以前开始，那个人就一直很关心您，他是您的后盾啊。
0x1164	那人就偏偏喜欢和您一较高低。他说好多话，要引起你的注意，这人可真像个小孩子。
0x1165	那人与您很早以前就是好朋友，处处关心呢，就像是在互相竞争中成长一般，太好了。
0x1166	那人是个明白事理的人，也许有很多地方值得学习。
0x1167	我听别人说你善于分析手下的特点，很会安排属下的工作。
0x1168	我阿桢做了您的妻子，真是太幸福了。
0x1169	不是有句话是‘众志成城’吗，凝聚每个家臣们的力量，就是您要做的事情。
0x1161	这里有很多人议论您和%s大人之间的关系┅┅。
dec4445	什么事，宁宁，一副很认真的模样。
dec4446	怎么了，阿桢，一本正经的样子。
dec4447	%s大人最近好像为什么事而烦恼，常常无精打采的。
dec4448	┅┅是吗，那么我抽空去看望他吧┅┅。
dec4449	这里有很多人议论您和%s大人之间的关系┅┅。
dec4450	那人狂妄自大无口德，出名得很。不管他说什么，您听听就算了，别放在心里。
dec4451	从以前开始，那个人就一直很关心您，他是您的后盾啊。
dec4452	那人就偏偏喜欢和您一较高低。他说好多话，要引起你的注意，这人可真像个小孩子。
dec4453	那人与您很早以前就是好朋友，处处关心呢，就像是在互相竞争中成长一般，太好了。
dec4454	那人是个明白事理的人，也许有很多地方值得学习。
dec4455	我听别人说你善于分析手下的特点，很会安排属下的工作。
dec4456	我阿桢做了您的妻子，真是太幸福了。
dec4457	不是有句话是‘众志成城’吗，凝聚每个家臣们的力量，就是您要做的事情。
dec4458	遇到危险的事情一定要懂得避开。
dec4459	若遇上什么不顺心的事，千万不要灰心呀。宁宁一直为您祈祷工作顺利。
table 0x50bf48 first 64: 00 02 04 05 06 07 07 07 08 09 09 0a 0b 0c 0d 0e 0f 10 11 11 12 13 14 15 16 16 17 18 19 19 1a 1b 1b 1c 1d 1d 1e 1f 1f 20 20 21 21 22 22 23 23 24 25 25 26 27 28 29 2a 2b 2b 2c 2d 2e 2f 30 30 00
vals0..62 = [0, 2, 4, 5, 6, 7, 7, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 20, 21, 22, 22, 23, 24, 25, 25, 26, 27, 27, 28, 29, 29, 30, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 37, 37, 38, 39, 40, 41, 42, 43, 43, 44, 45, 46, 47, 48, 48]
min=0 max=48 unique=47
1f->table == city: 33/695
1f->table == prov: 38/695
林通胜: 1f=17 map=16 city=71 prov=13
柴田胜家: 1f=17 map=16 city=66 prov=13
森可成: 1f=19 map=17 city=66 prov=13
金森长近: 1f=19 map=17 city=66 prov=13
泷川一益: 1f=27 map=24 city=66 prov=13
下方贞清: 1f=17 map=16 city=255 prov=13
蜂须贺小六: 1f=17 map=16 city=16 prov=255
生驹亲政: 1f=17 map=16 city=66 prov=13
前野长康: 1f=17 map=16 city=16 prov=255
村井贞胜: 1f=17 map=16 city=255 prov=13
平手汛秀: 1f=17 map=16 city=66 prov=13
佐久间信盛: 1f=17 map=16 city=66 prov=13
拜乡家嘉: 1f=17 map=16 city=66 prov=13
织田信长: 1f=17 map=16 city=66 prov=13
蜂屋赖隆: 1f=19 map=17 city=255 prov=14
丹羽长秀: 1f=17 map=16 city=66 prov=13
木下藤吉郎: 1f=17 map=16 city=66 prov=13
池田恒兴: 1f=17 map=16 city=66 prov=13
加藤光泰: 1f=19 map=17 city=255 prov=14
前田利家: 1f=17 map=16 city=66 prov=13
河尻秀隆: 1f=17 map=16 city=66 prov=13
佐佐成政: 1f=17 map=16 city=66 prov=13
前田玄以: 1f=17 map=16 city=255 prov=13
木下小一郎: 1f=17 map=16 city=16 prov=255
中村一氏: 1f=17 map=16 city=255 prov=13
prov capitals? table[0..48]: [0, 2, 4, 5, 6, 7, 7, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 20, 21, 22, 22, 23, 24, 25, 25, 26, 27, 27, 28, 29, 29, 30, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 37]
unique in 0..48: 36
MSGX '枪' count=77 e.g. 14:运用洋枪的技能。关系到开枪的速度及命中率。
MSGX '骑兵' count=9 e.g. 8:运用骑兵队的技能。关系到突击的次数及攻击力的强弱。
MSGX '水军' count=1 e.g. 471:这一带的岛屿是濑户内水军，也就是海盗的贼窝。最近有些平静了。
