0xd70=3440: 这么说来，那座城池建筑得相当粗糙了。
0xd71=3441: 是，是这样的┅┅
0xd72=3442: 一旦大军压境，如此城池确实让人担心，让你修筑你的居城，扩大城池的规模。
0xd73=3443: 感谢您的关心，感激不尽。
0xd74=3444: 还有什么事情吗？
0xd75=3445: %s！
0xd76=3446: 在！
0xd77=3447: 任命你为%s，今后你要更加努力啊。
0xd78=3448: 是！太荣幸了。
0xd79=3449: %s！任命你为%s城城主。
0xd7a=3450: 这，这是真的吗？
0xd7b=3451: 唔，从今以后，身为城主为我家的发展贡献力量吧。
0xd7c=3452: 太荣幸了。%s我愿为我家效犬马之劳！
0xd7d=3453: 将%s派给你，作为你手下的副将。二人要齐心协力守卫城池。
0xd7e=3454: 让%s和%s做为副将跟随你。你们要齐心协力守卫城池啊。
0xd7f=3455: 让%s等三人做为副将跟随你。你们要齐心协力守卫城池啊。
0xd80=3456: 是！
0xd81=3457: 藤吉郎呀，你的名字不太适合当城主。改一个与城主身份相符的名字吧。
0xd82=3458: 改名吗┅┅噢，我想到一个好名字！
0xd83=3459: 丹羽大人与柴田大人勇武盖世，我就借助二位的武运，请准许我取名为‘羽柴’，叫羽柴秀吉吧。
0xd84=3460: 好吧，从今以后，你的名字就是羽柴秀吉了。
0xd85=3461: 晚上不能进行开发。
0xd86=3462: %s大人，%s的期限过了。主公指示%s大人，立即前往参见。
0xd87=3463: 这是%s大人，开垦农田的准备工作都已完成。
0xd88=3464: 干什么呢？
0xd89=3465: 制订灌溉计划最少要花一天，可以吗？
0xd8a=3466: 让谁做呢？
0xd8b=3467: 停下来吗？
0xd8c=3468: 把七零八落的画面用最少的工时绘出，完成预定图。
0xd8d=3469: 按这个计划不能期望有太大的成果。完工还要%d天。
0xd8e=3470: 不错的计划呀。
0xd8f=3471: 若是这份计划，
0xd90=3472: 真是精彩的计划。
0xd91=3473: 照这个计划着手作业，
0xd92=3474: 那么，
0xd93=3475: 停止这个计划，
0xd94=3476: 不制订灌溉计划吗？
0xd95=3477: 到完成作业需要花%d天。也不能期待会有多大的成果，可以开始作业了吗？
0xd96=3478: 让您久等了。成功地开垦农田了。收获量增加了%d万石！
0xd97=3479: 这城的收获量已经达到最大限度。
0xd98=3480: 啊，还要花上%d天。
0xd99=3481: 今天就算了，改天再重订计划吗？
0xd9a=3482: 看来今天算了。
0xd9b=3483: 在干什么？
0xd9c=3484: 改变主意了，下一次再做。
0xd9d=3485: 作业进展如何？
0xd9e=3486: 对这种工作没有自信┅┅要交给我去办吗？
0xd9f=3487: 交给我去办吗？
--- nearby pushes in func ---
0xd85: 晚上不能进行开发。
0xd96: 让您久等了。成功地开垦农田了。收获量增加了%d万石！
0xd97: 这城的收获量已经达到最大限度。
0xd98: 啊，还要花上%d天。
0xd9d: 作业进展如何？
0xff: 完成了%s城的农田开垦。
0x16b1: 唔，辛苦了。
